
Dictionary BST
6000	1052
11000	1210
16000	1119
21000	1056
26000	1168
31000	1230
36000	1198
41000	1173
46000	1359
51000	1264
56000	1272
61000	1121
66000	1267
71000	1237
76000	1295
81000	1247
86000	1271
91000	1214
96000	1272
101000	1312
106000	1345
111000	1388
116000	1345
121000	1311
126000	1501
131000	1225
136000	1433
141000	1604
146000	1437
151000	1388
156000	1419
161000	1451
166000	1389
171000	1343
176000	1475
181000	1305
186000	1405
191000	1416
196000	1363
201000	1450
206000	1471
211000	1432
216000	1472
221000	1405
226000	1419
231000	1449
236000	1421
241000	1545
246000	1671
251000	1461
256000	1429
261000	1415
266000	1544
271000	1492
276000	1471
281000	1431
286000	1498
291000	1458
296000	1437
301000	1552
306000	1419
311000	1408
316000	1526
321000	1521
326000	1475
331000	1467
336000	1446
341000	1421
346000	1473
351000	1495
356000	1628
361000	1502
366000	1504
371000	1482
376000	1582
381000	1420
386000	1570
391000	1516
396000	1511
401000	1510
406000	1540
411000	1531
416000	1504
421000	1535
426000	1453
431000	1502
436000	1595
441000	1567
446000	1576
451000	1514
456000	1581
461000	1504
466000	1680
471000	1623
476000	1780
481000	1562
486000	1724
491000	1630
496000	1645
501000	1559
506000	1441
511000	1458
516000	1586
521000	1526
526000	1533
531000	1653
536000	1615
541000	1758
546000	1791
551000	1807
556000	1581
561000	1565
566000	1607
571000	1607
576000	1664
581000	1557
586000	1610
591000	1601
596000	1823
601000	1945
606000	1545
611000	1801
616000	1570
621000	1645
626000	1592
631000	1868
636000	1611
641000	1686
646000	1741
651000	1784
656000	1657
661000	1639
666000	1533
671000	1777
676000	1669
681000	1603
686000	1583
691000	1636
696000	1600
701000	1541
706000	1577
711000	1635
716000	1626
721000	1547
726000	1617
731000	1800
736000	1679
741000	1672
746000	1612
751000	1636


Dictionary Hashtable
6000	522
11000	226
16000	221
21000	303
26000	309
31000	359
36000	311
41000	308
46000	320
51000	315
56000	332
61000	313
66000	221
71000	373
76000	229
81000	223
86000	267
91000	227
96000	225
101000	225
106000	230
111000	225
116000	229
121000	225
126000	231
131000	311
136000	311
141000	315
146000	319
151000	322
156000	314
161000	310
166000	319
171000	454
176000	321
181000	313
186000	309
191000	315
196000	311
201000	315
206000	317
211000	317
216000	329
221000	318
226000	326
231000	321
236000	352
241000	312
246000	348
251000	316
256000	314
261000	308
266000	314
271000	314
276000	311
281000	371
286000	317
291000	317
296000	350
301000	314
306000	312
311000	310
316000	308
321000	320
326000	317
331000	375
336000	309
341000	323
346000	315
351000	315
356000	320
361000	319
366000	313
371000	317
376000	321
381000	320
386000	310
391000	310
396000	324
401000	312
406000	312
411000	320
416000	320
421000	319
426000	310
431000	347
436000	308
441000	311
446000	319
451000	320
456000	309
461000	310
466000	311
471000	316
476000	324
481000	337
486000	319
491000	309
496000	320
501000	321
506000	318
511000	323
516000	317
521000	228
526000	284
531000	222
536000	224
541000	254
546000	225
551000	225
556000	226
561000	256
566000	229
571000	282
576000	247
581000	224
586000	228
591000	223
596000	233
601000	224
606000	226
611000	224
616000	226
621000	231
626000	225
631000	232
636000	227
641000	222
646000	228
651000	225
656000	248
661000	230
666000	225
671000	231
676000	225
681000	226
686000	231
691000	228
696000	246
701000	229
706000	226
711000	227
716000	226
721000	232
726000	226
731000	226
736000	227
741000	226
746000	224
751000	232


Dictionary Trie
6000	115
11000	112
16000	147
21000	113
26000	114
31000	115
36000	114
41000	115
46000	114
51000	114
56000	115
61000	112
66000	116
71000	113
76000	115
81000	117
86000	116
91000	115
96000	113
101000	114
106000	117
111000	116
116000	115
121000	112
126000	116
131000	278
136000	112
141000	114
146000	147
151000	118
156000	114
161000	113
166000	115
171000	118
176000	115
181000	118
186000	115
191000	115
196000	111
201000	133
206000	116
211000	116
216000	114
221000	175
226000	119
231000	124
236000	116
241000	112
246000	116
251000	113
256000	114
261000	116
266000	111
271000	117
276000	115
281000	113
286000	112
291000	150
296000	134
301000	117
306000	114
311000	115
316000	116
321000	116
326000	140
331000	119
336000	115
341000	120
346000	149
351000	115
356000	113
361000	113
366000	112
371000	122
376000	146
381000	113
386000	115
391000	152
396000	113
401000	115
406000	143
411000	114
416000	117
421000	112
426000	112
431000	114
436000	114
441000	141
446000	113
451000	122
456000	118
461000	115
466000	114
471000	113
476000	112
481000	117
486000	114
491000	117
496000	113
501000	112
506000	116
511000	115
516000	113
521000	118
526000	114
531000	114
536000	118
541000	115
546000	115
551000	112
556000	112
561000	114
566000	113
571000	261
576000	114
581000	113
586000	115
591000	116
596000	117
601000	118
606000	110
611000	113
616000	113
621000	112
626000	112
631000	115
636000	170
641000	115
646000	120
651000	114
656000	113
661000	111
666000	164
671000	113
676000	113
681000	116
686000	117
691000	196
696000	114
701000	114
706000	113
711000	114
716000	112
721000	114
726000	119
731000	172
736000	114
741000	113
746000	116
751000	116
